Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date,Street,Kapanewon,Kabupaten,Province
rumah mewah 2 lantai dekat masjid suciati jln magelang,"ngaglik, sleman, di yogyakarta",2000000000,3.0,2.0,"3  2 , 175 m², rp 14.388.489 per m²",https://www.rumah.com/listing-properti/dijual-rumah-mewah-2-lantai-dekat-masjid-suciati-jln-magelang-oleh-alfian-febriansyah-22040673,20230812_093203,N/A,ngaglik,sleman,diy
rumah 3 menit ke jln kaliurang km 12,"ngaglik, sleman, di yogyakarta",650000000,2.0,1.0,"2  1 , 60 m², rp 7.222.222 per m²",https://www.rumah.com/listing-properti/dijual-rumah-3-menit-ke-jln-kaliurang-km-12-oleh-alfian-febriansyah-22040495,20230812_093203,N/A,ngaglik,sleman,diy
"belakang hotel hyatt, tanah jogja, area perumhan premium","jl. palagan, sleman, yogyakarta, kotagede, yogyakarta, di yogyakarta",4900000,,,"studio , 112 m² (tanah), rp 43.750 per m²",https://www.rumah.com/listing-properti/dijual-belakang-hotel-hyatt-tanah-jogja-area-perumhan-premium-oleh-mualifin-22071927,20230812_093203,jl. palagan,kotagede,sleman,diy
sleman,"jalan magelang, sleman, sleman, di yogyakarta",885000000,3.0,2.0,"3  2 , 116 m², rp 7.629.310 per m²",https://www.rumah.com/listing-properti/dijual-sleman-oleh-elin-nur-merdiasari-21933599,20230812_093203,jalan magelang,N/A,sleman,diy
rumah cantik dalam perumahan tidak jauh dari jln kaliurang,"ngemplak, sleman, di yogyakarta",1659000000,3.0,4.0,"3  4 , 120 m², rp 11.520.833 per m²",https://www.rumah.com/listing-properti/dijual-rumah-cantik-dalam-perumahan-tidak-jauh-dari-jln-kaliurang-oleh-alfian-febriansyah-22080335,20230812_093203,N/A,ngemplak,sleman,diy
"kavlin matang siap bangun, dijual tanah dekat pasar prawirotaman","jl. parangtritis, mergangsan, d.i. yogyakarta, mergangsan, yogyakarta, di yogyakarta",999000000,,,"111 m² (tanah), rp 9.000.000 per m²",https://www.rumah.com/listing-properti/dijual-kavlin-matang-siap-bangun-dijual-tanah-dekat-pasar-prawirotaman-oleh-chairul-imam-22080053,20230812_093203,jl. parangtritis,mergangsan,yogyakarta,diy
rumah mewah dengan kolam renang dekat hotel sheraton,"depok, sleman, di yogyakarta",2200000000,5.0,5.0,"5  5 , 210 m², rp 14.864.865 per m²",https://www.rumah.com/listing-properti/dijual-rumah-mewah-dengan-kolam-renang-dekat-hotel-sheraton-oleh-alfian-febriansyah-22079800,20230812_093203,N/A,depok,sleman,diy
rumah dijual kaliurang,"jl kaliurang,jl ringroad utara,jl malioboro,sleman, sleman, sleman, di yogyakarta",1450000000,5.0,4.0,"5  4 , 300 m², rp 9.666.667 per m²",https://www.rumah.com/listing-properti/dijual-rumah-dijual-kaliurang-oleh-benedicta-aprilia-pratiwi-21311657,20230812_093203,N/A,jl malioboro,sleman,diy
the naya residence,"jl.bandut metes,argorejo,sedayu, sedayu, bantul, di yogyakarta",400000000,2.0,1.0,"2  1 , 36 m², rp 5.555.556 per m²",https://www.rumah.com/listing-properti/dijual-the-naya-residence-oleh-ari-sujatmoko-21910773,20230812_093203,jl.bandut metes,sedayu,bantul,diy
tanah view sawah jakal km 11: tanah jogja cocok vila 2 jt-an,"sukoharjo, sleman ngaglik, sleman, yogyakarta, sleman, sleman, di yogyakarta",915200000,,,"352 m² (tanah), rp 2.600.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-view-sawah-jakal-km-11-tanah-jogja-cocok-vila-2-jt-an-oleh-qoidul-21974685,20230812_093203,N/A,sleman ngaglik,sleman,diy
