Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date
Kost Exclusive Dijual Lokasi sangat strategis di Yogyakarta (Kota),"JL magelang sinduadi mlati, Mlati, Sleman, DI Yogyakarta","Rp 2,9 M",10,10,"10  10 , 180 m², Rp 18.125.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-kost-exclusive-dijual-lokasi-sangat-strategis-di-yogyakarta-kota-oleh-beny-a-21483365,20230812_093203
Tanah Belakang Polda DIY: Ringroad Utara,"Sanggrahan, Condongcatur, Depok, Sleman,Yogyakarta, Kraton, Yogyakarta, DI Yogyakarta","Rp 1,2 M",N/A,N/A,"240 m² (tanah), Rp 5.000.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-belakang-polda-diy-ringroad-utara-oleh-salva-22072182,20230812_093203
Tanah Selatan Kampus UII Dekat Jln Kaliurang,"Ngaglik, Sleman, DI Yogyakarta","Rp 4,7 jt",N/A,N/A,"833 m² (tanah), Rp 5.642 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-selatan-kampus-uii-dekat-jln-kaliurang-oleh-alfian-febriansyah-22074989,20230812_093203
Rumah Minimalis Sleman: Harga Promo Bulan Agustus,"Jl. Ambarketawang, Kotagede, Yogyakarta, DI Yogyakarta",Rp 695 jt,3,1,"3  1 , 65 m², Rp 5.650.407 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-minimalis-sleman-harga-promo-bulan-agustus-oleh-fiza-22052207,20230812_093203
"Siap  AJB, Tanah Dekat Tol Ambarketawang Gamping Yogyakarta","Jl. Jogja Wates Km 6,5 - Gamping, Yogyakarta, Mergangsan, Yogyakarta, DI Yogyakarta",Rp 240 jt,N/A,N/A,"100 m² (tanah), Rp 2.400.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-siap-ajb-tanah-dekat-tol-ambarketawang-gamping-yogyakarta-oleh-chairul-imam-21919375,20230812_093203
TANAH SUPER MURAH DAERAH JAMBON,"Jalan Jambon, Sleman, Sleman, DI Yogyakarta","Rp 10,476 M",N/A,N/A,"3880 m² (tanah), Rp 2.700.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-super-murah-daerah-jambon-oleh-uut-22074398,20230812_093203
"Dekat Kampus UIN 2 Pajangan, Tanah Kavling Perumahan Bantul","Jl. Jogja Wates KM 9, Pajangan, Bantul, Mergangsan, Yogyakarta, DI Yogyakarta","Rp 179,2 jt",N/A,N/A,"128 m² (tanah), Rp 1.400.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dekat-kampus-uin-2-pajangan-tanah-kavling-perumahan-bantul-oleh-chairul-imam-21855066,20230812_093203
"Dekat Exit Tol Banyurejo, Dijual Tanah Murah Sleman","Jl. Godean KM 12, Sleman, Yogyakarta, Sleman, Sleman, DI Yogyakarta","Rp 161,2 jt",N/A,N/A,"124 m² (tanah), Rp 1.300.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-dekat-exit-tol-banyurejo-dijual-tanah-murah-sleman-oleh-chairul-imam-22074315,20230812_093203
KOSAN SUPER MURAH DEKAT KAMPUS UGM DI JALAN KALIURANG KM 5,"Pogung Baru, Mlati, Sleman, DI Yogyakarta",Rp 10 M,10,10,"10  10 , 668 m², Rp 13.513.514 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-kosan-super-murah-dekat-kampus-ugm-di-jalan-kaliurang-km-5-oleh-uut-22074165,20230812_093203
Rumah dekat malioboro kraton,"Jl bugisan, Kraton, Yogyakarta, DI Yogyakarta",Rp 900 jt,3,2,"3  2 , 89 m², Rp 9.183.673 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-dekat-malioboro-kraton-oleh-elin-nur-merdiasari-20710657,20230812_093203
